dataset,earliness_factor,ptsepsilon,warmup_steps,drop_probability,accuracy,earliness
CricketY,0.75,0,20,0.25,0.7564102564102564,1.0
OliveOil,0.25,0,20,0.25,0.4,0.01107205623901582
NonInvasiveFatalECGThorax1,0.5,0,20,0.5,0.9338422391857506,1.0
DiatomSizeReduction,0.5,0,20,0.25,0.9771241830065359,1.0
FaceAll,0.25,10,5,0.25,0.8887573964497042,0.32706313006793775
Adiac,0.5,10,5,0.25,0.7340153452685422,1.0
TwoLeadECG,0.25,10,5,0.75,0.4995610184372256,0.0
CricketZ,0.25,10,5,0.75,0.7692307692307693,1.0
Yoga,0.75,0,20,0.25,0.809,0.36790262381548355
Wafer,0.75,0,20,0.75,0.9982154445165476,1.0
SonyAIBORobotSurface1,0.75,0,20,0.5,0.9717138103161398,1.0
Adiac,0.75,0,20,0.5,0.6777493606138107,1.0
Yoga,0.5,0,20,0.25,0.5356666666666666,1.5644555694618272e-06
SonyAIBORobotSurface2,0.75,0,20,0.25,0.863588667366212,1.0
Haptics,0.75,0,20,0.75,0.4772727272727273,1.0
Coffee,0.75,0,20,0.25,1.0,1.0
ChlorineConcentration,0.75,0,20,0.25,0.64296875,1.0
TwoPatterns,0.25,10,5,0.5,0.63725,0.5836125953005875
Fish,0.5,0,20,0.5,0.9142857142857143,1.0
SonyAIBORobotSurface1,0.5,0,20,0.25,0.848585690515807,0.15045561594202894
CBF,0.5,0,20,0.75,0.9777777777777777,1.0
Adiac,0.25,10,5,0.25,0.7391304347826086,0.5796373906705539
SonyAIBORobotSurface2,0.5,0,20,0.25,0.8656873032528857,1.0
FaceAll,0.25,0,20,0.5,0.7893491124260354,1.0
FaceFour,0.75,0,20,0.5,0.9090909090909091,1.0
GunPoint,0.5,10,5,0.25,0.5066666666666667,0.0
GunPoint,0.5,0,20,0.5,0.9733333333333334,1.0
Mallat,0.5,0,20,0.25,0.9616204690831557,1.0
CricketY,0.75,0,20,0.75,0.7076923076923077,1.0
ECG200,0.25,10,5,0.25,0.81,0.227046783625731
DiatomSizeReduction,0.25,10,5,0.75,0.9444444444444444,0.29664571220930236
MoteStrain,0.25,0,5,0.25,0.7907348242811502,0.24113328313253013
Lightning2,0.75,0,20,0.5,0.7868852459016393,1.0
NonInvasiveFatalECGThorax1,0.75,0,20,0.5,0.932824427480916,1.0
SonyAIBORobotSurface1,0.25,10,5,0.25,0.8768718801996672,0.13337952898550726
CricketZ,0.25,10,5,0.25,0.7487179487179487,0.4957298136645963
MoteStrain,0.5,0,20,0.75,0.8769968051118211,1.0
FacesUCR,0.25,0,20,0.5,0.9331707317073171,1.0
FaceFour,0.25,10,5,0.75,0.7272727272727273,0.24127716093600765
CBF,0.5,0,20,0.5,0.98,1.0
ECG200,0.5,0,20,0.5,0.85,1.0
Haptics,0.25,0,20,0.75,0.37337662337662336,0.24268534513149548
OSULeaf,0.25,0,20,0.75,0.7520661157024794,1.0
CinCECGTorso,0.25,0,20,0.5,0.7217391304347827,0.488235674433591
WordSynonyms,0.25,0,20,0.5,0.6598746081504702,1.0
ECGFiveDays,0.25,10,5,0.25,0.49709639953542395,0.0
DiatomSizeReduction,0.5,0,20,0.75,0.9019607843137255,1.0
SwedishLeaf,0.75,0,20,0.25,0.9168,1.0
GunPoint,0.25,0,20,0.75,0.5066666666666667,0.0
Lightning2,0.25,10,5,0.75,0.5409836065573771,0.0
CricketX,0.5,0,20,0.5,0.7897435897435897,1.0
UWaveGestureLibraryY,0.75,0,20,0.75,0.7188721384701284,1.0
ChlorineConcentration,0.25,0,20,0.75,0.5325520833333334,1.5782828282828283e-06
Coffee,0.5,0,20,0.5,1.0,1.0
ChlorineConcentration,0.25,0,20,0.5,0.5325520833333334,1.5782828282828283e-06
Yoga,0.25,10,5,0.25,0.5366666666666666,0.00024014392991239048
TwoPatterns,0.75,0,20,0.25,0.99875,1.0
FaceAll,0.5,0,20,0.75,0.806508875739645,1.0
SonyAIBORobotSurface1,0.25,0,5,0.25,0.8602329450915142,0.13786865942028986
Lightning7,0.25,10,5,0.5,0.8493150684931506,0.7061195186932215
MedicalImages,0.5,0,20,0.5,0.75,1.0
DiatomSizeReduction,0.5,0,20,0.5,0.9477124183006536,1.0
GunPoint,0.25,10,5,0.25,0.5066666666666667,0.0
SyntheticControl,0.25,0,5,0.25,0.9933333333333333,1.0
ECG200,0.25,0,20,0.5,0.82,0.1727247807017544
ECG200,0.5,0,20,0.75,0.85,1.0
SonyAIBORobotSurface1,0.25,0,20,0.75,0.8951747088186356,0.17332971014492754
OSULeaf,0.25,10,5,0.75,0.7231404958677686,1.0
SonyAIBORobotSurface1,0.25,10,5,0.25,0.8768718801996672,0.13337952898550726
UWaveGestureLibraryX,0.5,0,20,0.25,0.8112786152987158,1.0
CBF,0.25,10,5,0.25,0.7566666666666667,0.2142634514435696
Lightning2,0.5,10,5,0.25,0.5409836065573771,0.0
FacesUCR,0.25,10,5,0.25,0.8414634146341463,1.0
FaceAll,0.5,0,20,0.5,0.7893491124260354,1.0
ECGFiveDays,0.5,0,20,0.5,1.0,1.0
FaceAll,0.75,0,20,0.5,0.7792899408284024,1.0
SwedishLeaf,0.5,10,5,0.25,0.9296,1.0
FacesUCR,0.5,0,20,0.25,0.9341463414634147,1.0
TwoLeadECG,0.25,10,5,0.25,0.4995610184372256,0.0
ECGFiveDays,0.25,0,20,0.5,0.49709639953542395,0.0
WordSynonyms,0.5,0,20,0.25,0.664576802507837,1.0
OliveOil,0.25,0,5,0.25,0.4,0.003632103104862331
CricketY,0.25,10,5,0.75,0.7025641025641025,1.0
Beef,0.25,0,20,0.25,0.6666666666666666,1.0
FacesUCR,0.25,10,5,0.75,0.8673170731707317,1.0
Trace,0.75,0,20,0.5,1.0,1.0
MedicalImages,0.25,0,20,0.5,0.75,1.0
UWaveGestureLibraryZ,0.5,0,20,0.5,0.7518146286990508,1.0
Symbols,0.5,10,5,0.25,0.8532663316582915,0.3330200414942425
FiftyWords,0.75,0,20,0.5,0.7714285714285715,1.0
CricketY,0.75,0,20,0.5,0.7128205128205128,1.0
CricketZ,0.75,0,20,0.5,0.8025641025641026,1.0
CricketY,0.25,0,20,0.75,0.7410256410256411,1.0
FiftyWords,0.25,0,20,0.5,0.778021978021978,1.0
CricketX,0.75,0,20,0.5,0.7743589743589744,1.0
OliveOil,0.75,0,20,0.75,0.4,0.12056239015817223
CBF,0.75,0,20,0.5,0.9833333333333333,1.0
FiftyWords,0.25,10,5,0.5,0.643956043956044,0.5815510073685609
MoteStrain,0.25,0,5,0.25,0.7907348242811502,0.24113328313253013
NonInvasiveFatalECGThorax2,0.75,0,20,0.5,0.9424936386768448,1.0
Symbols,0.75,0,20,0.25,0.9407035175879397,1.0
ECGFiveDays,0.25,10,5,0.75,0.49709639953542395,0.0
Yoga,0.5,0,20,0.75,0.5356666666666666,0.0
MoteStrain,0.75,0,20,0.5,0.8698083067092651,1.0
FaceFour,0.25,0,20,0.5,0.9090909090909091,1.0
SonyAIBORobotSurface1,0.5,0,20,0.5,0.870216306156406,0.17458152173913044
CricketX,0.25,0,20,0.75,0.7564102564102564,1.0
MedicalImages,0.25,0,20,0.75,0.75,1.0
CBF,0.25,0,20,0.5,0.7288888888888889,0.20862040682414698
ChlorineConcentration,0.5,0,20,0.25,0.5604166666666667,0.1246859217171717
SonyAIBORobotSurface2,0.75,0,20,0.5,0.8646379853095488,1.0
